MonthlyDisposableIncome,MonthlyLoanInstallment,YearOfBirth,Collateral,MaritalStatus,DaysPastDue
3580,952,'1985',No,1,0
2619,1242,'1991',Yes,1,95
4223,898,'1990',Yes,1,0
2594,860,'1991',Yes,1,0
3626,965,'1973',No,1,67
2458,892,'1987',Yes,0,92
4064,1393,'1980',Yes,1,0
3607,1525,'1987',No,1,98
2108,864,'1977',No,1,95
2323,1119,'1968',Yes,1,96
1895,906,'1992',Yes,1,94
3150,1766,'1994',Yes,1,97
2808,1094,'1970',No,1,91
3420,862,'1977',No,0,0
2219,775,'1972',Yes,0,4
4062,1120,'1985',Yes,1,0
2426,1058,'1949',No,0,101
3250,989,'1982',Yes,1,0
5694,1231,'1967',Yes,1,0
2377,858,'1976',Yes,1,0
3267,1017,'1968',Yes,1,6
3391,1197,'1970',Yes,1,37
3570,1231,'1981',Yes,1,0
2951,868,'1989',Yes,1,43
4484,1528,'1990',Yes,1,92
3505,951,'1951',Yes,1,68
3776,1062,'1986',Yes,0,0
994,1167,'1984',Yes,1,125
4506,1282,'1981',No,1,47
4818,1132,'1975',Yes,1,0
2986,1340,'1934',No,0,106
2882,892,'1985',Yes,1,0
3681,880,'1968',Yes,1,0
3514,1207,'1957',Yes,1,92
2836,1059,'1993',Yes,0,91
2941,1202,'1976',Yes,1,0
2072,945,'1977',No,1,97
5184,1305,'1992',Yes,1,0
3095,1105,'1982',No,1,82
3221,1051,'1966',Yes,0,0
3331,1010,'1960',Yes,1,58
3665,974,'1995',Yes,1,0
2346,651,'1977',Yes,1,0
5275,1274,'1971',Yes,0,0
4216,1271,'1988',No,1,76
4198,971,'1996',Yes,1,0
4632,1518,'1978',Yes,1,0
4097,1266,'1987',Yes,1,0
3925,854,'1976',Yes,1,0
3294,1219,'1973',Yes,0,0
2393,791,'1991',Yes,1,0
3960,1249,'1941',Yes,1,21
1034,795,'1985',Yes,1,106
2567,1110,'1988',Yes,1,92
4113,1370,'1982',Yes,1,0
2625,1056,'1993',No,1,98
3837,1463,'1973',Yes,0,0
3474,554,'1983',Yes,1,0
3918,909,'1959',Yes,1,0
2556,1658,'1978',Yes,1,105
3337,1097,'1994',No,0,1
4219,852,'1980',Yes,0,0
3791,1047,'1990',Yes,0,0
4468,1211,'1986',No,1,0
4604,845,'1977',Yes,1,0
2680,1042,'1984',Yes,1,95
3119,1424,'1986',Yes,0,95
3268,1287,'1961',Yes,1,66
4500,1204,'1989',Yes,1,0
2604,1254,'1986',Yes,0,93
2359,1174,'1988',No,0,101
3292,999,'1989',No,0,0
3123,1192,'1985',No,1,95
4895,1323,'1992',No,1,0
2427,991,'1985',Yes,0,0
3306,861,'1976',Yes,1,0
3169,1109,'1967',No,0,93
3068,1201,'1989',Yes,0,17
3756,871,'1990',No,1,0
2137,679,'1986',Yes,1,0
1695,1221,'1982',Yes,1,103
1973,758,'1941',Yes,0,92
3327,688,'1982',Yes,0,0
4758,1303,'1982',Yes,1,0
4621,1079,'1984',No,1,0
5206,693,'1969',Yes,1,0
3763,1333,'1978',Yes,1,0
3489,1042,'1989',No,0,93
3712,1236,'1969',Yes,1,0
4571,1066,'1987',Yes,1,0
1932,1099,'1977',Yes,1,94
5367,1528,'1984',Yes,1,0
3481,1114,'1987',Yes,1,0
2654,963,'1996',No,1,91
4823,1291,'1985',No,0,0
3084,916,'1987',Yes,1,40
4473,1319,'1958',No,1,94
2353,1055,'1987',No,0,97
4487,1359,'1983',No,0,0
2832,713,'1986',Yes,1,0
2358,1138,'1965',No,0,102
2940,917,'1989',No,1,36
4428,880,'1985',No,1,0
4288,1069,'1979',Yes,1,0
2652,1272,'1966',No,0,98
3673,773,'1992',Yes,1,0
2399,1050,'1989',Yes,1,0
3339,1041,'1991',No,0,96
3812,778,'1988',No,1,0
3511,1056,'1970',Yes,1,0
2691,561,'1994',No,1,0
3576,1229,'1993',No,0,49
5351,1348,'1974',Yes,1,0
2992,1403,'1974',Yes,0,90
2229,841,'1989',Yes,0,18
3235,1054,'1982',No,1,93
2906,1256,'1987',Yes,0,92
2752,1006,'1986',Yes,0,62
3911,683,'1984',Yes,1,0
4703,974,'1982',No,1,0
1564,916,'1975',Yes,0,102
3878,959,'1980',Yes,0,0
2530,1761,'1986',No,1,105
3166,1026,'1992',No,0,94
5596,1043,'1991',Yes,1,0
3088,1111,'1968',Yes,0,0
3441,1080,'1965',Yes,0,0
5169,1275,'1982',Yes,1,0
4056,710,'1988',No,1,0
3285,1016,'1941',No,1,98
5725,893,'1993',Yes,1,0
3893,1181,'1984',No,0,9
6019,1476,'1963',No,0,0
5925,1682,'1975',Yes,1,0
5254,1368,'1972',Yes,1,0
3441,401,'1985',Yes,0,0
2171,1184,'1983',Yes,0,95
5016,1205,'1990',No,1,62
2564,874,'1993',No,1,69
3339,911,'1977',No,1,0
4763,1009,'1979',Yes,1,0
5101,1553,'1992',No,0,92
1735,1196,'1988',No,1,109
3272,1018,'1972',No,1,93
3486,1242,'1976',No,0,0
3727,1049,'1981',Yes,0,0
3032,1146,'1980',Yes,1,63
3195,1070,'1983',No,1,92
3715,1030,'1989',Yes,1,0
2579,763,'1985',Yes,1,0
3920,1423,'1983',Yes,0,28
2613,732,'1984',No,1,0
2647,1141,'1979',Yes,1,92
3215,1251,'1992',No,1,93
4667,1330,'1983',Yes,1,0
3072,1249,'1977',Yes,0,66
4781,1214,'1938',No,0,95
4438,1341,'1978',No,0,92
3222,1360,'1975',Yes,1,93
2933,599,'1966',Yes,1,0
5172,1351,'1987',No,0,3
5816,1313,'1987',No,1,0
3614,1271,'1973',No,1,92
3647,1276,'1965',Yes,1,0
2347,899,'1983',No,1,95
3676,1231,'1985',Yes,0,0
3544,1200,'1976',No,0,93
4038,955,'1975',No,1,0
3780,1083,'1989',No,1,0
3052,1446,'1989',Yes,1,58
4602,1396,'1988',No,1,71
5759,1605,'1960',No,1,30
4838,1129,'1967',Yes,1,0
4687,1317,'1992',No,1,0
2987,661,'1970',Yes,1,0
3440,1130,'1979',Yes,1,0
4940,609,'1968',No,1,0
3061,1057,'1983',Yes,1,0
1919,989,'1991',No,0,101
2577,1372,'1978',No,0,100
4935,1169,'1985',No,1,0
2944,1043,'1985',Yes,1,0
3793,1198,'1994',Yes,0,0
3464,1254,'1956',No,0,98
5292,824,'1967',Yes,1,0
3378,1320,'1982',No,1,94
3612,990,'1951',Yes,0,0
3222,768,'1986',Yes,1,0
4122,1555,'1992',Yes,0,0
3282,1387,'1976',Yes,0,58
2122,817,'1972',No,0,94
2973,1102,'1982',Yes,1,0
4051,1214,'1989',No,1,93
4418,1386,'1990',No,0,93
4693,1202,'1974',Yes,1,0
4724,1123,'1982',No,0,0
3721,716,'1993',Yes,0,0
3362,1217,'1964',Yes,1,92
3129,1125,'1987',Yes,0,52
